"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Calendar Years 1960-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount,1960 ,1961 ,1962 ,1963 ,1964 ,1965 ,1966 ,1967 ,1968 ,1969 ,1970 ,1971 ,1972 ,1973 ,1974 ,1975 ,1976 ,1977 ,1978 ,1979 ,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures (Amount in Billions), 27.1 , 29.1 , 31.8 , 34.6 , 38.2 , 41.6 , 45.8 , 51.2 , 58.0 , 65.4 , 74.1 , 82.4 , 92.4 , 102.7 , 116.3 , 132.7 , 152.0 , 172.6 , 194.0 , 219.7 , 253.2 , 293.6 , 330.9 , 364.8 , 401.9 , 439.9 , 472.3 , 514.5 , 576.6 , 642.2 , 718.8 , 786.1 , 852.4 , 915.1 , 966.7 ," 1,020.6 "," 1,074.0 "," 1,133.4 "," 1,198.9 "," 1,273.7 "," 1,365.7 "," 1,483.0 "," 1,630.6 "," 1,769.9 "," 1,894.1 "," 2,025.9 "," 2,164.4 "," 2,305.0 "," 2,402.0 "," 2,492.5 "," 2,589.4 "," 2,676.2 "," 2,782.8 "," 2,855.8 "," 3,001.4 "," 3,163.6 "," 3,305.6 "," 3,446.5 "," 3,604.5 "," 3,759.1 "," 4,124.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures, 24.6 , 26.2 , 28.3 , 30.8 , 33.9 , 36.9 , 40.8 , 46.0 , 52.2 , 58.4 , 66.3 , 73.6 , 82.5 , 92.2 , 104.9 , 119.9 , 138.0 , 158.3 , 178.1 , 202.2 , 232.7 , 270.1 , 304.2 , 335.5 , 371.0 , 408.7 , 440.0 , 478.8 , 536.8 , 598.5 , 670.2 , 734.0 , 795.3 , 854.2 , 903.1 , 955.1 ," 1,006.9 "," 1,061.8 "," 1,120.4 "," 1,189.3 "," 1,280.0 "," 1,393.1 "," 1,529.2 "," 1,661.3 "," 1,777.2 "," 1,900.4 "," 2,031.4 "," 2,158.8 "," 2,245.7 "," 2,345.3 "," 2,437.3 "," 2,517.4 "," 2,619.6 "," 2,692.7 "," 2,841.9 "," 3,000.6 "," 3,139.5 "," 3,266.3 "," 3,415.9 "," 3,564.2 "," 3,931.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care, 23.1 , 24.6 , 26.5 , 29.0 , 31.8 , 34.4 , 38.0 , 43.0 , 48.6 , 54.9 , 62.4 , 68.7 , 76.4 , 85.3 , 97.8 , 112.1 , 128.1 , 145.1 , 162.4 , 184.9 , 214.3 , 248.6 , 279.5 , 308.0 , 337.9 , 372.6 , 405.4 , 444.4 , 495.1 , 547.0 , 612.0 , 672.7 , 728.4 , 775.7 , 818.0 , 866.8 , 915.0 , 966.1 ," 1,019.7 "," 1,079.2 "," 1,157.0 "," 1,257.1 "," 1,366.1 "," 1,476.5 "," 1,583.0 "," 1,694.4 "," 1,807.0 "," 1,922.2 "," 2,008.0 "," 2,106.2 "," 2,181.3 "," 2,254.7 "," 2,347.0 "," 2,405.7 "," 2,527.3 "," 2,674.1 "," 2,795.3 "," 2,905.2 "," 3,021.8 "," 3,175.2 "," 3,357.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance, 1.1 , 1.2 , 1.3 , 1.3 , 1.5 , 1.8 , 2.0 , 2.1 , 2.6 , 2.4 , 2.6 , 3.2 , 4.3 , 4.8 , 4.5 , 4.9 , 6.7 , 9.3 , 11.1 , 11.9 , 11.9 , 13.9 , 16.1 , 18.3 , 23.2 , 24.9 , 22.2 , 20.8 , 26.4 , 33.7 , 38.3 , 39.2 , 42.5 , 51.7 , 55.5 , 57.3 , 59.5 , 60.9 , 63.3 , 69.3 , 80.0 , 89.2 , 110.9 , 130.6 , 139.3 , 148.7 , 163.5 , 170.7 , 166.2 , 164.8 , 180.3 , 188.3 , 195.5 , 205.6 , 230.2 , 241.0 , 254.2 , 265.0 , 294.4 , 284.0 , 349.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities, 0.4 , 0.4 , 0.5 , 0.5 , 0.6 , 0.6 , 0.7 , 0.9 , 1.0 , 1.2 , 1.4 , 1.7 , 1.9 , 2.1 , 2.6 , 3.0 , 3.2 , 3.8 , 4.6 , 5.4 , 6.4 , 7.5 , 8.6 , 9.3 , 9.8 , 11.2 , 12.4 , 13.6 , 15.3 , 17.8 , 20.0 , 22.1 , 24.4 , 26.8 , 29.6 , 31.0 , 32.4 , 34.8 , 37.5 , 40.7 , 43.0 , 46.8 , 52.2 , 54.2 , 54.9 , 57.3 , 60.9 , 66.0 , 71.6 , 74.2 , 75.7 , 74.4 , 77.2 , 81.5 , 84.4 , 85.5 , 90.0 , 96.2 , 99.7 , 105.0 , 223.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment, 2.6 , 2.9 , 3.5 , 3.8 , 4.3 , 4.8 , 5.0 , 5.2 , 5.9 , 7.0 , 7.7 , 8.8 , 9.9 , 10.4 , 11.5 , 12.7 , 14.0 , 14.4 , 15.9 , 17.5 , 20.6 , 23.5 , 26.7 , 29.3 , 30.9 , 31.1 , 32.3 , 35.7 , 39.9 , 43.7 , 48.6 , 52.0 , 57.1 , 60.9 , 63.6 , 65.6 , 67.1 , 71.7 , 78.5 , 84.4 , 85.7 , 90.0 , 101.5 , 108.6 , 116.9 , 125.5 , 133.0 , 146.2 , 156.3 , 147.2 , 152.1 , 158.7 , 163.2 , 163.1 , 159.6 , 163.1 , 166.1 , 180.2 , 188.6 , 194.9 , 192.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Population1 (Millions),186.0 ,189.0 ,192.0 ,195.0 ,197.0 ,200.0 ,202.0 ,204.0 ,206.0 ,208.0 ,210.0 ,213.0 ,215.0 ,217.0 ,218.0 ,220.0 ,222.0 ,224.0 ,226.0 ,228.0 ,230.0 ,233.0 ,235.0 ,237.0 ,239.0 ,242.0 ,244.0 ,246.0 ,248.0 ,251.0 ,254.0 ,256.0 ,260.0 ,263.0 ,265.0 ,268.0 ,271.0 ,274.0 ,276.0 ,279.0 ,282.0 ,285.0 ,287.0 ,290.0 ,292.0 ,295.0 ,298.0 ,301.0 ,304.0 ,306.0 ,309.0 ,311.0 ,314.0 ,316.0 ,318.0 ,320.0 ,323.0 ,325.0 ,327.0 ,328.0 ,329.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product2  (Amount in Billions), 542.4 , 562.2 , 603.9 , 637.5 , 684.5 , 742.3 , 813.4 , 860.0 , 940.7 ," 1,017.6 "," 1,073.3 "," 1,164.9 "," 1,279.1 "," 1,425.4 "," 1,545.2 "," 1,684.9 "," 1,873.4 "," 2,081.8 "," 2,351.6 "," 2,627.3 "," 2,857.3 "," 3,207.0 "," 3,343.8 "," 3,634.0 "," 4,037.6 "," 4,339.0 "," 4,579.6 "," 4,855.2 "," 5,236.4 "," 5,641.6 "," 5,963.1 "," 6,158.1 "," 6,520.3 "," 6,858.6 "," 7,287.2 "," 7,639.7 "," 8,073.1 "," 8,577.6 "," 9,062.8 "," 9,631.2 "," 10,251.0 "," 10,581.9 "," 10,929.1 "," 11,456.5 "," 12,217.2 "," 13,039.2 "," 13,815.6 "," 14,474.2 "," 14,769.9 "," 14,478.1 "," 15,049.0 "," 15,599.7 "," 16,254.0 "," 16,843.2 "," 17,550.7 "," 18,206.0 "," 18,695.1 "," 19,479.6 "," 20,527.2 "," 21,372.6 "," 20,893.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures (Annual Percent Change) ,,7.1,9.3,8.8,10.7,8.8,9.9,11.9,13.3,12.8,13.2,11.2,12.1,11.1,13.3,14.0,14.6,13.6,12.3,13.3,15.3,15.9,12.7,10.2,10.2,9.5,7.4,8.9,12.1,11.4,11.9,9.4,8.4,7.4,5.6,5.6,5.2,5.5,5.8,6.2,7.2,8.6,10.0,8.5,7.0,7.0,6.8,6.5,4.2,3.8,3.9,3.4,4.0,2.6,5.1,5.4,4.5,4.3,4.6,4.3,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
