"Location","Expenses per Inpatient Day"
"Mississippi","$1311"
"Wyoming","$1466"
"South Dakota","$1642"
"Iowa","$1786"
"Alabama","$1786"
"North Dakota","$1808"
"Arkansas","$1947"
"Montana","$2050"
"Georgia","$2100"
"West Virginia","$2104"
"Kansas","$2191"
"Oklahoma","$2207"
"Alaska","$2233"
"Kentucky","$2303"
"South Carolina","$2341"
"Tennessee","$2350"
"Louisiana","$2371"
"Nevada","$2397"
"Nebraska","$2473"
"North Carolina","$2528"
"Virginia","$2549"
"Minnesota","$2568"
"Florida","$2586"
"Missouri","$2668"
"Michigan","$2681"
"Idaho","$2683"
"Wisconsin","$2732"
"Pennsylvania","$2810"
"Indiana","$2814"
"United States","$2873"
"Maine","$2902"
"Texas","$2923"
"Illinois","$2939"
"Hawaii","$2945"
"Rhode Island","$3019"
"Vermont","$3114"
"Arizona","$3131"
"New Mexico","$3150"
"Ohio","$3226"
"New Jersey","$3232"
"New Hampshire","$3247"
"Connecticut","$3290"
"Colorado","$3302"
"Maryland","$3336"
"Utah","$3350"
"Delaware","$3364"
"Massachusetts","$3462"
"District of Columbia","$3648"
"New York","$3676"
"Washington","$3945"
"Oregon","$3986"
"California","$4098"

